OBJECTID,AcresG,AcresP,SubSurRights,adm_code,County,Shape_Length,Shape_Area
1,185266.59648342,185301.58034882,All Minerals,USFS,Gunnison,680655.30906749,749888890.515488
2,10638.216451,10640.59925143,All Minerals,USFS,Pitkin,59303.5684180746,43060977.4188529
3,2721.29561728,2721.82779231,All Minerals,BLM,Garfield,51360.1450306966,11014846.2819885
4,2689.82252296,2690.34537651,All Minerals,PRI,Garfield,37367.2973935173,10887441.4654123
5,254.75934352,254.8050814,All Minerals,USFS,Garfield,6248.38382553926,1031159.58010868
6,1767.51947655,1767.98540226,All Minerals,BLM,Gunnison,31952.283954162,7154783.07985151
7,10973.68996801,10975.18115722,All Minerals,BLM,Pitkin,53359.620252321,44414982.3531037
8,48.18417364,48.19532904,All Minerals,BOR,Gunnison,2388.25683919875,195039.576873193
9,224.50361759,224.55746437,All Minerals,LOCAL,Garfield,4221.46554025271,908751.816876071
10,3611.78584677,3612.87577142,All Minerals,PRI,Gunnison,43633.2718331376,14620789.5189146
11,1217.86484033,1218.00497561,All Minerals,PRI,Pitkin,25479.6877197331,4929091.25805307
12,303.66716161,303.72223475,Coal Only,PRI,Gunnison,10290.091233608,1229120.27634343
13,42.27311869,42.28145183,Coal Only,PRI,Pitkin,2430.5123273522,171106.964882829
14,82.19731372,82.21211394,Coal Only,USFS,Pitkin,2626.61065782615,332700.621302074
15,317.39279917,317.44877833,Coal Only,PRI,Garfield,8862.70997613646,1284669.62738574
16,4016.62725711,4016.77927847,No Minerals,PRI,Gunnison,105712.689081096,16255329.0204235
17,29023.42389772,29027.90588527,No Minerals,PRI,Pitkin,269279.921058861,117471767.360628
18,108.42172241,108.44691211,No Minerals,USFS,Gunnison,3019.70122931213,438869.08277048
19,343.8569661,343.92597895,No Minerals,USFS,Pitkin,8685.40293376212,1391819.05675387
20,2513.28815897,2513.68391266,No Minerals,PRI,Garfield,41915.6764839864,10172517.8858291
21,655.25643217,655.38631772,No Minerals,USFS,Garfield,16376.1489774772,2652254.32901225
22,4.00877863,4.00912993,No Minerals,LOCAL,Garfield,1505.47289999861,16224.3731951365
23,45.71586978,45.72383226,Oil and Gas Only,PRI,Garfield,1733.66608199488,185037.784235846
24,0.0,1.85e-06,Other,PRI,Gunnison,19.0940474832405,0.0074741917585661
25,2222.91987385,2223.40656943,Other,USFS,Gunnison,32741.8236022022,8997807.15510187
26,907.77636438,907.91476702,Other,USFS,Pitkin,18434.9399879257,3674200.70590256
27,150.7868657,150.81484938,Other,PRI,Pitkin,4010.23616650183,610326.041805033
28,67.04506824,67.05556942,Other,PRI,Garfield,5199.68974992676,271364.261746096
