STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TPCP,EMXT,EMNT
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100101,40,39,-328
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100201,208,-39,-289
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100301,67,222,-189
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100401,382,228,-33
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100501,1020,328,-17
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100601,881,278,78
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100701,496,317,111
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100801,488,339,61
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100901,1045,233,-6
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101001,569,278,-56
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101101,55,161,-233
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101201,53,0,-256
